⋯你個頭,nei5 go3 tau4
索鈎,sok3 ngau1
綯,tou4
緄,kwan2
總的來説,zung2 dik1 loi4 syut3
纊,kwang3
老爺鐘,lou5 je4 zung1
而字咁手,ji4 zi6 gam2 sau2
耳聞不如眼見,ji5 man4 bat1 jyu4 ngaan5 gin3
耷濕,dap1 sap1
耽波鐘,dam6 bo1 zung1,dam3 bo1 zung1
耽症,dam1 zing3
聞道有先後,man4 dou6 jau5 sin1 hau6
肕,ngan6
肥揗揗,fei4 tan4 tan4
肥淋淋,fei4 nam6 nam6
胎囊,toi1 nong4
胡説八道,wu4 syut3 baat3 dou6
能歌擅舞,nang4 go1 sin6 mou5
脊飾,zek3 sik1
脱光,tyut3 gwong1
脱星,tyut3 sing1
脱稿,tyut3 gou2
脱險,tyut3 him2
腡,wo5
腬,nau6
膝頭哥對上就係脾,sat1 tau4 go1 deoi3 soeng6 zau6 hai6 bei2
膼,gwaa1
自圓其説,zi6 jyun4 kei4 syut3
舐屎忽,laai2 si2 fat1
舞龍噉舞,mou5 lung4 gam2 mou5
艇户,teng3 wu6
艔,dou2
芳踪,fong1 zung1
荒郊野嶺,fong1 gaau1 je5 leng5
荔芋,lai6 wu6
菢,bou6
菩達,pou4 daat6
萬字底,maan6 zi6 dai2
落⋯面,lok6 min2
落雨絲濕,lok6 jyu5 si1 sap1
葱皮紙,cung1 pei4 zi2
蒐証,sau2 zing3
蒲薘,pou4 daat6
蔗渣咁嘅價錢,ze3 zaa1 gam2 ge3 gaa3 cin4
蕌頭,kiu5 tau4
薳,jyun5
藤條燘豬肉,tang4 tiu2 man1 zyu1 juk6
藭,kung1,kung4
藴藏,wan5 cong4
蘆菇,lou4 gu1
蘿蔔褲,lo4 baak6 fu3
虍,fu1
蛇行鼠步,se4 hang4 syu2 bou6
蝴蝶褶,wu4 dip6 zaap6
蟹䚗,haai5 gong6
蟹奄,haai5 jim2
蟹槓,haai5 gong6
衒,jin2
補粧,bou2 zong1
裹蒸粽,gwo2 zing1 zung2,gwo2 zing1 zung3
褲囊,fu3 nong6
西臺灣,sai1 toi4 waan1
訁,jin4
訂户,deng6 wu6
訴説,sou3 syut3
話⋯就⋯,waa6 zau6
説笑,syut3 siu3
説詞,syut3 ci4
課税,fo3 seoi3
談天説地,taam4 tin1 syut3 dei6
談情説愛,taam4 cing4 syut3 oi3
論説,leon6 syut3
講笑揾第樣,gong2 siu3 wan2 dai6 joeng2
謝灶,ze6 zou3
謯,zaa2
識⋯老鼠,sik1 lou5 syu2
譭譽參半,wai2 jyu6 caam1 bun3
豬屎渣,zyu1 si2 zaa2
貴氣體,gwai3 hei3 tai2
賞心悦目,soeng2 sam1 jyut6 muk6
賣布唔帶尺,maai6 bou3 m4 daai3 cek3
賦税,fu3 seoi3
賭枱底,dou2 toi2 dai2
賴賴哂哂,laai4 laai4 saai4 saai4
贈閲,zang6 jyut6
趣趣哋,ceoi3 ceoi2 dei2
趻,dam6
趻腳,dam6 goek3
跛手太監,bai1 sau2 taai3 gaam3
路畸唇,lou6 kei1 seon4
跳虱市場,tiu3 sat1 si5 coeng4
蹱,zung1
蹺口㔆手,kiu2 hau2 caam5 sau2
躽,jin2
軭,waang1
輕輕哋,heng6 heng1 dei2
輸一個馬鼻,syu1 jat1 go3 maa5 bei6
轉吓眼,zyun2 haa5 ngaan5
辛苦揾嚟志在食,san1 fu2 wan2 lei4 zi3 zoi6 sik6
辛苦揾嚟自在食,san1 fu2 wan2 lei4 zi6 zoi6 sik6
近鄉情怯,gan6 hoeng1 cing4 hip3
迫鈕,baak1 nau2
送俾我都唔吼啦,sung3 bei2 ngo5 dou1 m4 hau1 laa1
進退維艱,zeon3 teoi3 wai4 gaan1
遊糊,jau4 wu2,jau4 fu2
過後媒人秋後扇,gwo3 hau6 mui4 jan4 cau1 hau6 sin3
過頭説話,gwo3 tau4 syut3 waa6
酒麴,zau2 guk1
金蟬脱殼,gam1 sim4 tyut3 hok3
釒,gam1
釘牀,deng1 cong4
釣起嚟賣,diu3 hei2 lai4 maai6,diu3 hei2 lei4 maai6
釣高嚟賣,diu3 gou1 lai4 maai6,diu3 gou1 lei4 maai6
鈕型電,nau2 jing4 din6
銀銀聲,ngang4 ngang2 seng1
銾,hung6
鋤頭唔響番薯唔香,co4 tau2 m4 hoeng2 faan1 syu2 m4 hoeng1
鋭不可當,jeoi6 bat1 ho2 dong1
鋭角,jeoi6 gok3
鋹雞,caang4 gai1
鍟,seng1
鎝,taap3
鏍銯頭,lo4 si1 tau2
鐳屎,leoi1 si2
鐵版神數,tit3 baan2 san4 sou3
鐵版神算,tit3 baan2 san4 syun3
長話短説,coeng4 waa6 dyun2 syut3
門户之見,mun4 wu6 zi1 gin3
開⋯次方,hoi1 ci3 fong1
開口𤜯著脷,hoi1 hau2 gap6 zoek6 lei6
開平粽,hoi1 ping4 zung2
開火爨,hoi1 fo2 cyun3
閲人無數,jyut6 jan4 mou4 sou3
閲讀室,jyut6 duk6 sat1
阿吱阿咗摩洛哥,aa3 zi1 aa3 zo1 mo1 lok6 go1
阿芝阿佐,aa3 zi1 aa3 zo1
